place_id,name,address,latitude,longitude,total_reviews,avg_rating,avg_polarity,positive_reviews,negative_reviews,neutral_reviews,positive_ratio,negative_ratio,sentiment_score
ChIJZ0PBTTSlXpMRAtgBReq_yNU,Anapolitano Café,"Mercado Municipal Carlos de Pina - R. Quatorze de Julho, 617 - Centro, Anápolis - GO, 75043-040, Brazil",-16.32494,-48.957516,5,4.8,0.0,0,0,5,0.0,0.0,0
ChIJsfG-YmNXzpQRhj-0kH9uhQ0,Arinella Orion auto posto ltda,"Av. Jaguaré, 740 - Jaguaré, São Paulo - SP, 05346-000, Brazil",-23.5537835,-46.7426459,4,4.0,0.0,0,0,4,0.0,0.0,0
ChIJt3TMNT0-uAARG7F989i1t1c,POSTO NOVA ITAPARICA LTDA,"R. João Evangelista de Souza - Nova Itaparica, Vila Velha - ES, 29103-780, Brazil",-20.3757019,-40.3195304,3,3.3333333333333335,0.0,0,0,3,0.0,0.0,0
ChIJjdcIt-6bpgARqp-NdYYvv2c,Miguelao Posto Ltda,"Av. Silviano Brandão, 2109 - Horto, Belo Horizonte - MG, 31030-035, Brazil",-19.9111351,-43.9181667,4,2.5,0.0,0,0,4,0.0,0.0,0
ChIJKb5qnkdPz5QRfPlS7-xaa7o,Auto Posto Alejo (Bandeira Shell),"Av. Walter Nardelli, 391 - Jardim Santa Marta, Salto - SP, 13323-760, Brazil",-23.21441780000001,-47.26393949999999,5,4.8,0.0,0,0,5,0.0,0.0,0
ChIJOa24mgTxCZMRvp5rA1XB4ss,RESTAURANTE LAS VERAS,"R. Brasil Norte, 1253 - ESPERANÇA, Vera - MT, 78880-000, Brazil",-12.2941033,-55.29475309999999,5,2.8,0.0,0,0,5,0.0,0.0,0
ChIJndVwROgly5QRymm4qchzeBo,Posto Áriel,"BR-267, Cambuquira - MG, 37420-000, Brazil",-21.8887231,-45.21845149999999,4,4.25,-0.17499999999999996,0,1,3,0.0,0.25,-1
ChIJHUMV53zmAJURWkRFOJwCH1M,Posto Shell,"R. Gen. Canabarro, 474 - Vila Swift, Rosário do Sul - RS, 97590-000, Brazil",-30.2631419,-54.9225257,5,3.8,-0.025095238095238087,0,1,4,0.0,0.2,-1
ChIJI0h6Kcl_mQARiMnRPwj_sQA,Bob's Burger - Posto Shell Iate,"Av. Reporter Nestor Moreira, 41 - Botafogo, Rio de Janeiro - RJ, 22290-222, Brazil",-22.9493029,-43.17797429999999,4,2.75,-0.010416666666666668,0,1,3,0.0,0.25,-1
ChIJJUCN_CXwpgARe09Y5hv_tAw,Posto Via Esmeraldas Ltda,"R. Rio das Velhas, 375 - Dona Guilhermina, Esmeraldas - MG, 35740-000, Brazil",-19.7698083,-44.30969369999999,3,3.3333333333333335,-0.2708333333333333,0,1,2,0.0,0.3333333333333333,-1
ChIJnWWGlv05O5MRYUq2STsnuqM,E A R PEREIRA COMBUSTIVEIS,"Avenida Teotonio Segurado, Quadra 1,4, Lote 41, s/n - Lot. Lago Sul, Palmas - TO, 77062-130, Brazil",-10.3149076,-48.3246353,5,2.6,-0.24,1,2,2,0.2,0.4,-1
ChIJt2ySZcN-mQAROWzeEktBcNM,Posto Shell - Posto RFD Ltda,"Av. Brasil, 1960 - Caju, Rio de Janeiro - RJ, 20930-040, Brazil",-22.8863207,-43.2242669,3,2.3333333333333335,-0.043333333333333335,0,1,2,0.0,0.3333333333333333,-1
ChIJV1vOX6-jmQARUl_EePJpsdQ,Posto Shell - Eco Magé,"BR-493, 1524 - Piedade, Magé - RJ, 25900-970, Brazil",-22.6564408,-43.0688285,4,1.75,-0.075,0,1,3,0.0,0.25,-1
ChIJATB9djSzvZQRDTUSzW4dKtQ,Posto Monte Carlo Arthur Nonato,"Av. Arthur Nonato, 5531 - Bosque da Saude, São José do Rio Preto - SP, 15091-050, Brazil",-20.8251676,-49.40124899999999,5,1.0,-0.02953125,0,1,4,0.0,0.2,-1
ChIJk03eS4SDmQAR-bQ8FYDErrQ,Posto Shell,"Alameda São Boaventura, 246 - Fonseca, Niterói - RJ, 24120-196, Brazil",-22.8809427,-43.103789,3,3.3333333333333335,-0.049999999999999996,0,1,2,0.0,0.3333333333333333,-1
ChIJQz_QK7YHyJQRbCM8IDtqsXU,Auto Posto Rosim,"R. Curitiba, 1 - Vila Belmiro, Pirassununga - SP, 13633-515, Brazil",-22.0319967,-47.4336454,4,4.5,-0.03125,0,1,3,0.0,0.25,-1
ChIJ7YRwFoBgzpQRrcsSSTbmOEg,Auto Posto Galena,"Av. Dr. Ricardo Jafet, 3274 - Bosque da Saúde, São Paulo - SP, 04123-020, Brazil",-23.6030938,-46.6258254,5,1.0,-0.080078125,0,2,3,0.0,0.4,-2
ChIJ12TZkRWZkZQR5p9BsyMMvKA,Posto Shell,"SP-270, Km 649 - Zona Rural, Pres. Epitácio - SP, 19470-000, Brazil",-21.8071441,-52.1041225,3,1.6666666666666667,-0.45,0,2,1,0.0,0.6666666666666666,-2
