place_id,name,rating,user_ratings_total,address,phone_number,website,business_status,price_level,latitude,longitude,reviews_count
ChIJdey7nfp_mQARUsCRVXeOpjQ,22280-004,0.0,0,"R. Gen. Polidoro, 1-163 - Botafogo, Rio de Janeiro - RJ, 22280-004, Brazil",,,,,-22.9537988,-43.1833427,0
ChIJlx57TyX7G5URRRdRT1n7Pf4,Posto Ipiranga,4.4,272,"R. Buarque de Macedo, 400 - Centro, Montenegro - RS, 95780-000, Brazil",,https://portal.ipiranga/,OPERATIONAL,,-29.6811111,-51.4575,5
ChIJbVqxD1dAGZURn2_rNvqLLiw,93700-000,0.0,0,"Campo Bom - RS, 93700-000, Brazil",,,,,-29.6670878,-51.0454454,0
ChIJscF00W75-5QR9OPsGOkRAZQ,Posto 74 - São Martinho,4.6,1027,"RS-210, 4, São Martinho - RS, 98690-000, Brazil",(55) 3533-1220,,OPERATIONAL,,-27.7373955,-53.9075729,5
ChIJK-zTQ5rfmwARsYTne7JWoTU,Loja Shell Select - POSTO SHELL - AUTO CENTER DUDUCA LTDA,4.0,292,"R. Francisco Real, 616 - Padre Miguel, Rio de Janeiro - RJ, 21715-422, Brazil",0800 728 1616,,OPERATIONAL,2.0,-22.8791749,-43.45113509999999,5
ChIJK-zTQ5rfmwARsYTne7JWoTU,Loja Shell Select - POSTO SHELL - AUTO CENTER DUDUCA LTDA,4.0,292,"R. Francisco Real, 616 - Padre Miguel, Rio de Janeiro - RJ, 21715-422, Brazil",0800 728 1616,,OPERATIONAL,2.0,-22.8791749,-43.45113509999999,5
ChIJnYQ1kGor7ZQRCS1N09Vjc8s,Posto Shell,4.3,510,"RUA LAURINDO BORGONHONI, 915 - Parque Industrial, Mandaguaçu - PR, 87160-000, Brazil",(44) 3245-1032,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1046764,OPERATIONAL,2.0,-23.35903799999999,-52.08715999999999,5
ChIJs9exid3U85QRPuc2lN5kdE4,Posto das Américas,0.0,0,"BR-277, 584 - Pacaembu, Cascavel - PR, 85804-600, Brazil",(45) 3227-1066,,OPERATIONAL,,-24.964031,-53.4120763,0
ChIJl0U1F-jv3JQRQuQhCwtHrAE,83321-000,0.0,0,"Av. Iraí, 2-662 - Weissópolis, Pinhais - PR, 83321-000, Brazil",,,,,-25.4498675,-49.1820477,0
ChIJ__vXLdvy3JQRwBoffefZZ3k,83305-120,0.0,0,"R. Francisco Leal, 302-2147483647 - Vila Sao Cristovao, Piraquara - PR, 83305-120, Brazil",,,,,-25.4437881,-49.0580368,0
ChIJi4aWGz-D6ZQRyIh1FlpO890,84261-350,0.0,0,"Av. Chanceler Horácio Laffer, 1-1181 - Centro, Telêmaco Borba - PR, 84261-350, Brazil",,,,,-24.328853,-50.6198967,0
ChIJexVW63vhmwARMeBarYpEOhs,23087-285,0.0,0,"Estr. do Mendanha, 590-2068 - Campo Grande, Rio de Janeiro - RJ, 23087-285, Brazil",,,,,-22.8767778,-43.5543863,0
ChIJaUpz6oW_7JQRj55TZ4Ybkfw,86990-000,0.0,0,"Marialva - State of Paraná, 86990-000, Brazil",,,,,-23.5266796,-51.8311441,0
ChIJZ2FHcsad85QRG3PbVrnZXSQ,AUTO POSTO SARANDI,0.0,0,"Av. Mal. Castelo Branco, 1900 - Novo Sarandi, Toledo - PR, 85927-000, Brazil",(45) 3273-1305,,OPERATIONAL,,-24.5642263,-53.90199759999999,0
ChIJi19f-2-7ngARALvJfsxdgoQ,27197-000,0.0,0,"Pinheiral - State of Rio de Janeiro, 27197-000, Brazil",,,,,-22.5383309,-44.0103922,0
ChIJ08qp1hM0lgARWbNnZEyntW0,27932-050,0.0,0,"Rod. Amaral Peixoto - Imboassica, Macaé - RJ, 27932-050, Brazil",,,,,-22.4073082,-41.855391,0
ChIJBaCZH4owlgARYqcF6T1hdBQ,Posto Shell | Tic Tac - Moreira Cabral,4.2,408,"Av. Rui Barbosa, 1492 - Cajueiros, Macaé - RJ, 27915-010, Brazil",(22) 98851-2067,https://www.instagram.com/moreiracabralposto/,OPERATIONAL,2.0,-22.3828557,-41.7758567,5
ChIJxR-TRFEwlgARBK76Nl4geJM,Posto Shell,4.0,1914,"Rua Gastão Henrique Schueler - RJ-168, 1178 - Botafogo, Macaé - RJ, 27901-970, Brazil",(21) 2719-3991,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1023982,OPERATIONAL,2.0,-22.3617468,-41.8001007,5
ChIJa1Yi6XMeqwcRH_AlYI6YI9Q,51230-000,0.0,0,"Av. Dois Rios, 1-1599 - Ibura, Recife - PE, 51230-000, Brazil",,,,,-8.1207774,-34.9440391,0
ChIJoYcD6XGxx5QRHByJOs4pYH4,13525-000,0.0,0,"Águas de São Pedro - State of São Paulo, 13525-000, Brazil",,,,,-22.6015864,-47.8748462,0
ChIJ7YRwFoBgzpQRrcsSSTbmOEg,Auto Posto Galena,3.9,96,"Av. Dr. Ricardo Jafet, 3274 - Bosque da Saúde, São Paulo - SP, 04123-020, Brazil",(11) 2579-5528,http://www.postogalena.com.br/,OPERATIONAL,,-23.6030938,-46.6258254,5
ChIJVVWJXbb5zpQRCYnbvKA9SAc,02739-000,0.0,0,"Av. Itaberaba, 1931-2147483647 - Itaberaba, São Paulo - SP, 02739-000, Brazil",,,,,-23.4840558,-46.6877384,0
ChIJa3j-Cs24uZQR7Tk7tynI308,AUTO POSTO CARRO NOBRE LTDA,4.3,1041,"Av. Maurílio Biagi, 1224 - Ribeirânia, Ribeirão Preto - SP, 14020-750, Brazil",(16) 3620-0696,http://www.shell.com.br/,OPERATIONAL,2.0,-21.20412,-47.793789,5
ChIJ91cmSYDAyJQRuCByNwitDA4,13141-010,0.0,0,"Av. José Álvaro Delmonde - Parque Brasil 500, Paulínia - SP, 13141-010, Brazil",,,,,-22.8039294,-47.1372785,0
ChIJa6NVGim9HpURlbStKBgEpZ8,Posto Shell,4.3,423,"R Dr - R. José Aloísio Bruger, 1333 - Jardim America, Caxias do Sul - RS, 95050-150, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html,OPERATIONAL,,-29.1543359,-51.168643,5
ChIJ76tpSZb4zpQRG71vUbIIUQU,Casa do Pão de Queijo Posto Shell - Jaguaré,5.0,1,"R. Schilling, 257 - Loja 1 - Vila Hamburguesa, São Paulo - SP, 05302-003, Brazil",(11) 3834-6737,,OPERATIONAL,,-23.5297585,-46.7270826,1
ChIJQeHvdQlZzpQRsgAs0QuIhWM,Posto Shell,3.9,423,"R. do Lavapés, 187 - Cambuci, São Paulo - SP, 01519-000, Brazil",(11) 3208-3477,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1519000,OPERATIONAL,2.0,-23.5599234,-46.6293204,5
ChIJMSUZkblPzpQRQij6EiMLbN0,04815-010,0.0,0,"Interlagos, São Paulo - State of São Paulo, 04815-010, Brazil",,,,,-23.707551,-46.69777699999999,0
ChIJ9QfXwSH2zpQRTDcrUNOvgIA,02085-000,0.0,0,"Carandiru, São Paulo - State of São Paulo, 02085-000, Brazil",,,,,-23.4992095,-46.6136056,0
ChIJ-ZlZKG1azpQRxbgYphnAaYc,Posto Shell - Casa Grande Ltda.,4.0,552,"AV IRAI 1080 X - Av. Rubem Berta, SN - Indianópolis, São Paulo - SP, 04082-003, Brazil",(11) 5080-5502,http://www.redecampeao.com.br/,OPERATIONAL,,-23.6143438,-46.6586316,5
ChIJv3G660tbzpQRu0vEYndynhg,Loja Shell Select - POSTO SHELL - MASH POSTOS E SERV LTDA,3.8,1310,"Av. Pres. Tancredo Neves, 1265 - Cursino, São Paulo - SP, 04287-100, Brazil",0800 728 1616,https://www.shell.com.br/,OPERATIONAL,2.0,-23.6161648,-46.6087795,5
ChIJXYdIVuZQzpQRv3tW9K81rnw,04715-005,0.0,0,"R. Américo Brasiliense, 1523-2147483647 - Chácara Santo Antônio (Zona Sul), São Paulo - SP, 04715-005, Brazil",,,,,-23.6292941,-46.7054772,0
ChIJ3x1QZh1czpQRxJZ4nTa8Sbc,Posto Shell,4.4,70,"R. do Oratório, 2413 - Vila Prudente, São Paulo - SP, 03117-000, Brazil",(11) 2965-4377,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-882089,OPERATIONAL,2.0,-23.5686633,-46.582363,5
ChIJ84eL7P3ax5QRwJ6T5OFLC0g,Auto Posto Xurunga - Shell,4.3,777,"Auto Posto Xurunga - Santa Cruz, Rio Claro - SP, 13500-470, Brazil",(19) 3524-4166,http://www.shell.com.br/,OPERATIONAL,2.0,-22.4065491,-47.5724967,5
ChIJ6UEeAP5pzpQRdelUcJJiPBw,Jardim do Estádio,0.0,0,"Jardim do Estádio, Santo André - SP, Brazil",,,,,-23.6947219,-46.51757809999999,0
ChIJwTXHKE115JQRSvurxuarnOo,GM Gemelli Combustíveis e Conveniência LTDA,4.5,124,"Av. Cel. Rupp, 2318, Catanduvas - SC, 89670-000, Brazil",(49) 3525-1130,,OPERATIONAL,,-27.0705496,-51.6631246,5
ChIJI5goCYdnv5QR2LNk4T4GaOU,17030-000,0.0,0,"Vila Monlevade, Bauru - State of São Paulo, 17030-000, Brazil",,,,,-22.3163066,-49.04303290000001,0
ChIJffFrWtRYlpQR2Y7D3pwY2FM,Auto Posto Guararapes - Shell,4.6,183,"Av. Rio Branco, 1726 - Guararapes, SP, 16700-000, Brazil",(18) 3606-1120,,OPERATIONAL,,-21.2494045,-50.6413026,5
