place_id,name,rating,user_ratings_total,address,phone_number,website,business_status,price_level,reviews_count
ChIJAfnZjFbIvAARNRD6_PWEyFs,Posto Shell - POSTO BARRA DE MURIAE LTDA,4.0,33,"Rio-Bahia, 5245 - Barra, Muriaé - MG, 36880-000, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html,OPERATIONAL,2.0,5
ChIJb1dl4v3CrAcRt-_ZHuRtZl8,58046-518,0.0,0,"Av. Gov. Antonio da Silva Mariz - Portal do Sol, João Pessoa - PB, 58046-518, Brazil",,,,,0
ChIJfxOoCKCxuQARvCvri34jwB8,POSTO IRMAOS KROHLING LTDA,4.0,2,"58,5, BR-262, s/n - SANTA MARIA, Mal. Floriano - ES, 29255-000, Brazil",,http://www.shell.com.br/milhasagora,OPERATIONAL,2.0,2
ChIJNw5TFkp8twARWkm03Dolc4M,Posto Ferrari,4.4,271,"Rodovia Galerano Afonso Venturini, Km 23 Zona Rural - Alto Caldeirão, Santa Teresa - ES, 29656-000, Brazil",(27) 2235-8899,,OPERATIONAL,,5
ChIJmzc9JdtnowARYreb1bYcEwI,36570-000,0.0,0,"Viçosa - State of Minas Gerais, 36570-000, Brazil",,,,,0
ChIJx_X-QHmXd5MRH6YQyjET4bA,78820-000,0.0,0,"Jaciara - State of Mato Grosso, 78820-000, Brazil",,,,,0
ChIJHSM9RyOXpgARYbC5z1JUIFQ,30720-100,0.0,0,"R. Padre Eustáquio, 1761-2147483647 - Padre Eustáquio, Belo Horizonte - MG, 30720-100, Brazil",,,,,0
ChIJR4pPK8nzoJMR18DlgwZDOOE,Auto Posto Tibirissa,4.3,120,"Av. Rio Grande do Sul, 323 - Centro, Lucas do Rio Verde - MT, 78455-000, Brazil",(65) 99289-8320,http://www.br.com.br/,OPERATIONAL,,5
ChIJ6a1ciMOQpgARfE3ktHaigs4,31250-810,0.0,0,"Aparecida 7ª Seção, Belo Horizonte - MG, 31250-810, Brazil",,,,,0
ChIJAzYNxaT5zJQR8FXQbh13USA,12062-000,0.0,0,"Av. Francisco Barreto Leme, 1-756 - Vila Sao Geraldo, Taubaté - SP, 12062-000, Brazil",,,,,0
ChIJ97Cpy503FAcRLweGLmpPRAs,Posto Shell,4.2,367,"Av. Pres. Dutra, 1320 - Ponto Central, Feira de Santana - BA, 44075-516, Brazil",(75) 98173-6151,https://www.kalilandia.com.br/,OPERATIONAL,2.0,5
ChIJ0ekhjP9fz5QRWuZtZ_l2KPc,Posto Shell - CABRERA AUTO POSTO LTDA,4.3,181,"R. Paschoal Leite Paes, 424 - Vila Progresso, Sorocaba - SP, 18090-500, Brazil",(15) 3233-9920,https://www.shell.com.br/motoristas/localizador-de-postos.html,OPERATIONAL,2.0,5
ChIJO1yRJgU-FgcRMChIPnwwk4Q,42712-740,0.0,0,"Av. Santos Dumont - Portão, Lauro de Freitas - BA, 42712-740, Brazil",,,,,0
ChIJ0To6s403FAcR9fcZsU-o_V8,Posto Shell,4.3,178,"R. Prof. Geminiano Costa, 490 - Centro, Feira de Santana - BA, 44025-070, Brazil",,https://www.kalilandia.com.br/,OPERATIONAL,2.0,5
ChIJ6SD0AmlGxwcRHGhDHGJY13k,60191-070,0.0,0,"R. G - Manuel Dias Branco, Fortaleza - CE, 60191-070, Brazil",,,,,0
ChIJfYn3HGeLxZQRPRJnwV3lTK8,Luana Auto Posto Sorocaba,4.5,521,"Av. Juvenal de Campos, 300 - Vila Pinheiros, Sorocaba - SP, 18030-280, Brazil",(15) 3211-6739,https://www.instagram.com/luanaautoposto/,OPERATIONAL,2.0,5
ChIJmaBOzAxUAQcR3lonsqClgfI,MAXI POSTO ECOLOGICO LTDA,4.1,17,"10,7, AL-101, s/n - Praia do Francês, Mal. Deodoro - AL, 57160-000, Brazil",,http://www.shell.com.br/,OPERATIONAL,2.0,5
ChIJ2_Z0e5XDUpMRer4EF_PeW6E,47680-000,0.0,0,"Cocos - State of Bahia, 47680-000, Brazil",,,,,0
ChIJic9FASBJxwcRsYfX3yL66xE,60040-530,0.0,0,"Av. Treze de Maio - Fátima, Fortaleza - CE, 60040-530, Brazil",,,,,0
ChIJMZrTWBpzGJURbqOv0FpnAIE,Posto de Abastecimento Rota do Mar,4.4,175,"Av. Osório, 864 - Imbé, RS, 95625-000, Brazil",(51) 98196-0052,,OPERATIONAL,,5
ChIJbQJdnZveyJQR_9O69kJqQj8,Alcides Pavan,0.0,0,"Pedreira - State of São Paulo, 13920-000, Brazil",(19) 3893-1210,,OPERATIONAL,,0
ChIJ27r_nwvPyJQR2V6PBYwRhDM,Posto Shell Andorinhas,4.4,2319,"Av. José de Sousa Campos, 2101 - Cambuí, Campinas - SP, 13025-320, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-151149,OPERATIONAL,2.0,5
ChIJ00j3Xi9rlpQRJFuZ5HElwXU,Posto Nove de Julho Birigui,4.3,69,"R. José Domingos Alonso, 44 Jardim - Novo Jardim Stabile, Birigui - SP, 16200-000, Brazil",(18) 3644-1214,,OPERATIONAL,,5
ChIJm27Fz63hxZQR4JGLJ3uLr08,BR station Garpelli,4.2,2206,"Rodovia Mal. Castelo Branco, Km 120 s/n - Condominio Reserva Campos de Boituva - AP, Boituva - SP, 18550-000, Brazil",(15) 3263-2698,http://www.shell.com.br/,OPERATIONAL,,5
ChIJgV6MUZxdz5QReCQEQky1lpc,13300-000,0.0,0,"Itu - State of São Paulo, 13300-000, Brazil",,,,,0
ChIJrQzKLvLFyJQRuI3-p3_aUxg,Posto Shell,4.3,375,"Av. Nossa Sra. de Fátima, 1432 - Taquaral, Campinas - SP, 13090-001, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1024051,OPERATIONAL,2.0,5
ChIJHbv1gG3YnQARhhMTxAinTn8,Auto Posto Geremias,4.4,351,"Rod. Pres. Dutra, 320 - Centro, Itatiaia - RJ, 27580-000, Brazil",(24) 3352-1503,,OPERATIONAL,,5
ChIJvxGkeumD6pQREFZN1HgPX2g,86430-000,0.0,0,"Santo Antônio da Platina - State of Paraná, 86430-000, Brazil",,,,,0
ChIJ5Rzql-OFrAcRLznktRHf2B0,Albuquerque Pneus Ltda Itambé,4.3,202,"Rod. PE-75, Km 28 - Centro, Itambé - PE, 55920-000, Brazil",(81) 3635-1089,http://www.albuquerquepneus.com.br/,OPERATIONAL,,5
ChIJ5Rzql-OFrAcRLznktRHf2B0,Albuquerque Pneus Ltda Itambé,4.3,202,"Rod. PE-75, Km 28 - Centro, Itambé - PE, 55920-000, Brazil",(81) 3635-1089,http://www.albuquerquepneus.com.br/,OPERATIONAL,,5
ChIJ9ehlOob-3JQR5m_JtYvGM_o,81490-000,0.0,0,"Estr. Delegado Bruno de Almeida - Campo de Santana, Curitiba - PR, 81490-000, Brazil",,,,,0
ChIJT-VtDWsPlwARPPl86aVOOYY,Posto Estrela do Mar,4.2,1124,"Rod. Amaral Peixoto, s/n - Km 16 - Base Aeronaval, São Pedro da Aldeia - RJ, 28940-000, Brazil",(22) 2621-7235,,OPERATIONAL,,5
ChIJBYluVLiZpgARHQXgBQ_bXts,Posto Shell,4.1,132,"Rua Professor Estêvão Pinto, 768 - Serra, Belo Horizonte - MG, 30220-060, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-597198,OPERATIONAL,2.0,5
ChIJ1aY2oeXIzJQRQ64ZqHTHkH4,Posto Shell,4.5,618,"PCA PREF.ROSENDO P - R. Margarida F Leite, 07 - Centro, Lorena - SP, 12604-080, Brazil",(12) 3153-2002,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-642169,OPERATIONAL,2.0,5
ChIJvxI6oay6x5QRANHl66Udfqg,Posto Shell,4.4,307,"R. Veríssimo Prado, 1491 - Centro, São Pedro - SP, 13520-000, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1024146,OPERATIONAL,2.0,5
ChIJJboBjKFDzpQRO9gM3Sfoy_8,Posto Shell,4.2,172,"Av. Padre Anchieta, 600 - Vila Jordanopolis, São Bernardo do Campo - SP, 09781-180, Brazil",(11) 4123-7596,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-430641,OPERATIONAL,2.0,5
ChIJR25Mtqkyz5QRuEe61gosirI,13280-001,0.0,0,"Praça José Von Zuben - Centro, Vinhedo - SP, 13280-001, Brazil",,,,,0
ChIJSyVmNy10lJQR5_2rZqHGWKE,Posto Pinheiro Shell - Regente Feijó,4.6,96,"R. Cap. Francisco Witaker, 2-90 - Reg. Feijó, SP, 19570-000, Brazil",(18) 99682-7332,https://linktr.ee/postopinheiro,OPERATIONAL,,5
ChIJeRap7GCNHZURIf-NeDwlahc,95365-000,0.0,0,"São Jorge, RS, 95365-000, Brazil",,,,,0
