PLACE ID ,RAZAOSOCIAL
INVALID,TURISMO POSTO DE SERVICOS LTDA
ChIJy6gqZ1e4yJQRTJSFPVki4l4,AUTO POSTO CHACARAS DO COELHO LTDA
ChIJ68HzWMm7yJQRuOlfiv0W7no,CENTRO AUTOMOTIVO E ALIMENTICIO COMPANHEIRO LTDA
ChIJO5uFNs4lz5QRiq_33TwWqY0,AUTO POSTO RETIRO LTDA
ChIJS9zUBwrczZQRidKBLiyvFCA,AUTO POSTO COCUERA DE MOGI LTDA
ChIJBzeQ44oQyZQRvQNRsIb0W8g,ALMEIDA & KEMPERS LTDA
ChIJTzVysLzmxZQRBpWeua0wBUI,AUTO POSTO PADOVAN LTDA
ChIJs_BqOwCnzpQRlpx9SY1QOuc,AUTO POSTO GIGANTE DE JOANOPOLIS LTDA
ChIJjQowEZkeIZURFAzZLuPAbaY,OENNING & CIA LTDA
EkFBdi4gSnVuZGlhw60sIDkyNiAtIEFuaGFuZ2FiYcO6LCBKdW5kaWHDrSAtIFNQLCAxMzIwOC0wNTMsIEJyYXppbCIxEi8KFAoSCd9IxaWcJs-UEcGOqJPYRsk6EJ4HKhQKEgknG319mybPlBEc34yyvxWyNw,AUTO POSTO PARQUE DA UVA DE JUNDIAI LTDA
 ChIJFYWA0Zwmz5QRuvZKncGYjO0,AUTO POSTO TELLES LTDA
ChIJE7AHkjrBzpQRaBBKQrf5PTY,SERV POSTO PERFIL LTDA
ChIJp2GrCgb1zpQRDbhsxFLTEys,AUTO POSTO O CHEFAO LTDA
ChIJn6w71Otai5QRK-3vCcJir0E,TORK OIL ELDORADO LTDA
ChIJOWPyWOX2pgARR0PpvOXQCbk,POSTO FLORIDA LTDA
ChIJv_ZS-7FduwAR2-SA08_kVsY,AUTO POSTO XODOZAO LTDA
ChIJ3V04PNQWsJQRr4Zrv8kP5ec,MAXDIESEL VEICULOS E PECAS - EIRELI
ChIJ9-yyac_zoJMR-sXWirCrzMA,GELLER AUTO POSTO LTDA
ChIJBz0VxvyCiZQRX8hbuaaFfCM,POSTO NOVA ESPERANCA LTDA
ChIJTRIdha-_XpMRuvleypKcVCI,BSB BANCARIOS COMERCIAL DE COMBUSTIVEIS LTDA
ChIJt-fviBSWXpMR2OGP_OVBtMA,POSTO CACIQUE LTDA
ChIJYatYjQNfz5QR7fMDxHFjSOo,AUTO POSTO GALLE PETRO LTDA
ChIJf9rNhCtENQcRiBeIzGTaKh8,AUTO POSTO PIONEIRO LTDA
ChIJkVphscxzzpQRkDjxvPnv-ZE,CENTRO AUTOMOTIVO PALMEIRA LTDA
ChIJ2S20hoqVagcRzQZQk28bEp4,ALMEIDA MARTINS COMERCIO DE DERIVADOS DE PETROLEO LTDA
ChIJK4dr3AxXRwcRg4cTF7ddrPg,POSTO BONFIM DERIVADOS DE PETRÃ“LEO LTDA
ChIJL9J2WnfPuAcRMEdwpxwUKKY,POSTO DE COMBUSTIVEIS CACIQUE LTDA
ChIJ_6SOgMueuZQRlSENv6VqFy4,AUTO POSTO JBF SERTAOZINHO LTDA
ChIJ1Xz1yVezyJQRpFjT67FQ7wo,COM DERIVADOS PETROLEO RUI BARBOSA INDAIATUBA LTDA
ChIJf5Udxb1PxZQRuAlVJl_p5cQ,FASE QUATTRO COMERCIO DE COMBUSTIVEIS LTDA
ChIJ0Ys1yaTozJQR9lROwVyue9Q,POSTO DOM PEDRO DE PINDA LTDA
ChIJbfZXJgCByJQRymYfXVswiqI,AUTO POSTO AEROPORTO LIMEIRA LTDA
ChIJ4R9cIU3IyJQR_yTGY8IjdBk,POSTO R R CAMPINAS LTDA
ChIJFYQ-KLYqz5QRGH517Y4doe8,AUTO POSTO MORRO AZUL DE ITATIBA LTDA
ChIJaRH85xroyJQRYCBAvJdz30g,AUTO POSTO FERRARI JAGUARIUNA LTDA
ChIJFz_LKwye-5QRkq-WKrbozFs,COMERCIO DE COMBUSTIVEIS GARBIN LTDA
ChIJZ0EMi8m9qwcROe_yNN7hp7A,POSTO DE SERVICOS ZUPP LTDA
ChIJhQAgC6Lj3JQRQ7YMbymv9vQ,COMÃ‰RCIO DE COMBUSTÃVEIS PRESIDENTE LTDA
ChIJ8TxE96F1GZURm1DgSdp6vPs,COMERCIAL DE COMBUSTIVEIS PIRATINI LTDA.
ChIJR7MXaZqcwpQRffgCcGPDWDQ,AUTO POSTO CASTROLANDA LTDA.
ChIJCyFzRNvE_pQREGWofD-QDXk,COMERCIAL DE COMBUSTIVEIS GUARANI LTDA
ChIJEx6qnsh6mQARVIcfrFsGPv0,AUTO POSTO DE ABASTECIMENTO VITRINE DE CAXIAS LTDA
ChIJz8XXtNM6wpQRd9LTmnwMK9c,AUTO POSTO FUNIL LTDA
ChIJj3wFRkTk3JQRTFH6x8SGLg0,AUTO POSTO PETRO IGUAÃ‡U LTDA.
ChIJlR9Hn9OF25QRR2pLu17rphs,POSTO ATLANTICO PARANAGUA LTDA
ChIJjWmTdGFpyJMR6I_vBLInvmo,P A TESTONI COMERCIO VAREJISTA E ATACADISTA DE COMBUSTIVEIS LTDA
ChIJ4dMS7-Hm3JQRHayW6b8UqmY,AUTO POSTO TS LIMITADA
ChIJnVm8JNJzmQARMmLp9GCVlfE,POSTO E LANCHONETE XODO DO PAPAI LTDA
ChIJ5amQJyrR7JQR_zwM0lm23Yk,AUTO POSTO PREMIUM GTI LTDA
ChIJ8Zgf9zpDzpQRctg-NwdDm8c,AUTO POSTO CAMBORIU LIMITADA
ChIJ2129g7RGzpQRwO1KJSNay_M,POSTO CAFE BRASIL LTDA
ChIJx5zitEJBzpQRvvYncaylS9g,AUTO POSTO HELENA YOKOYA LTDA
ChIJ3Wv1w0eD0pQRHwho0OBC7rs,AUTO POSTO PRAIA DA ENSEADA LTDA
ChIJm839Xlc1zJQRSI3dCzbK_Xw,POSTO E LAVA CAR SAO CRISTOVAO LTDA
ChIJm839Xlc1zJQRSI3dCzbK_Xw,POSTO DE SERVIÃ‡OS BOLLA BRANCA LTDA
ChIJZZ5GFM3exZQRZQnpTbBQkGY,BARAO DE TATUI AUTO POSTO LTDA.
ChIJjbHIv1b0k5QRA6tnwyJOafc,AUTO POSTO MIXAM LTDA
ChIJRzCN99lxuJQR68PcDyp7jw0,POSTO PANTANAL FENIX LTDA.
ChIJDR8uT9UMxpQRcAmE5S1MZcM,POSTO DOM GAIOTTO LTDA.
ChIJX2kJxvtzuZIRflspWyg8Au4,POSTO VIA NORTE COMERCIO DE COMBUSTIVEL LTDA
 ChIJCxGAhveAyJQRb7FGlpXjBi8,AUTO POSTO CONFIANTE DE LIMEIRA LTDA
ChIJ9T3zYknLxZQRLyffTD52hpk,AUTO POSTO MIQUIRA III LTDA
ChIJReq74bKf-pQRpO6zE3DeiAM,PANDA COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA
ChIJ-8zs3ioixpIRm7UbWfjka7I,OLIVEIRA LIMA COM. DE COMB. LTDA. ME.
ChIJG2fJuh3_zpQRibpGFmKbNgw,AUTO POSTO NOVO CAUA LTDA
ChIJFQiG_zLj3JQR5g6I5Xzphbw,POSTO NEOVILLE LTDA
ChIJh2k7CI3YmwARIEtA0ipsscs,POSTO DE GASOLINA CAFUNDA LTDA
ChIJKYGWJonqtwARJT8sP76nQJw,AUTO POSTO E SERVICOS ARACRUZ - COLINA DE BELA VISTA LTDA
ChIJkcG42X5OmQARPJ5RJVs4_lc,POSTO DE GASOLINA AMIGAO DE PARACAMBI LTDA
ChIJb6eFbi-msQARaK_4JpHc0aE,AUTO POSTO ANDRAMAGA LTDA
ChIJrc8XtEPllpQRJQ5fCQhJ_Oc,BERTASSI & SARMENTO LTDA
ChIJQ-micS3ZPwcRgdClNVD5KX4,ADRO- AUTO POSTO DE COMBUSTIVEIS LTDA
ChIJ6bUofhUeTpMRGx59DNCvY6M,AUTO POSTO DDD LTDA
 ChIJWZL3Qe8yWpMR8-Qoh6Coib0,TAGUACENTRO COMERCIO DE DERIVADOS DE PETROLEO LTDA
ChIJ65_VeD_IeZMR_xsCiJ6OX5c,RK COMERCIO E DERIVADOS DE PETROLEO LTDA - ME
ChIJf5oh8C4qyZQRbU78wzy8apM,AUTO POSTO IRMAOS MIGUEL LTDA.
ChIJOT8xeIYzxpQRbBx0dv-P9lw,POSTO ALGODOAL PIRACICABA LTDA
ChIJq88Z8eJ2uJQRGovKukqZgRc,ARTAM SAO CARLOS COMERCIO DE COMBUSTIVEIS LTDA
ChIJ03ueDOcRFgcRkz9-71Q4LdE,POSTO BOA VIAGEM COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA
ChIJtwJeFUJxr5MR3FR7vDyWkng,AUTO POSTO CRL LTDA
ChIJp1kbGqNnzpQRTJZRRzXDHtI,AUTO POSTO NOVO AGUIA DE HAIA LTDA
ChIJweurl_lfzpQRP0ayCFN3hXc,AUTO POSTO PORTO DA IGREJA LTDA
ChIJwfJPVZ0pWQcRMT0v-UhTdI0,AMIL COMERCIO DE COMBUSTIVEIS LTDA
ChIJ0xCvvGMevJQRqDMW114zYb0,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS
ChIJLfI7sDLYEAcRtIzZTVHC-so,KG COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA
ChIJ_-2pDZLQ7JQRLCBLHPEZwG8,BARCELONA COM. DE COMBUSTIVEIS LTDA
ChIJt7VsXS2pFQcRYWS-OZtXniU,LM POSTO DE COMBUSTIVEL LTDA
ChIJn5jG5cxgBwcR1Kqd848CvxY,JAILSON LOPES LEITE - EPP
ChIJU-e_ajXtIJMRQlJAwqQ4Nd8,RODRIGO COSTA FEITOSA
ChIJaTmKXkB5GZURA4Yi_4E9Ae8,POSTO DUEVILLE II LTDA
ChIJnzIgu5Sa9pQRuI-HcnSVx9c,COMERCIO DE COMBUSTIVEIS ITAIPU LTDA
ChIJY7KeTkL7h5QR08xnopfkE9Q,PEVIANI & CIA LTDA
ChIJ-V2iwsRfXpMRwN3X-rdeKJ4,AUTO POSTO DIAS LTDA
ChIJtRq-HvujHpURLBEcweg_S0k,AUTO POSTO COMBOIO LTDA
ChIJMaBQpVHl3JQRg6MBg5tLt_8,CONDOR AUTO POSTO KENNEDY LTDA
 ChIJZTxSTTvZxZQRd6rhlK4R7nk,AUTO POSTO PAVAO TATUI LTDA
ChIJ46GrEWeiUJMRLwXdLXmEWdg,AUTO POSTO SOMAR LTDA
ChIJoXQtKSlmGZUR96iYYroHlYU,POSTO ZOOLOGICO LTDA
ChIJs_18m5DJzpQRFRPq_X_zZoY,EUROPA EMPREENDIMENTOS LTDA.
ChIJG4MxKQREHpURR-7Fi7vTNqs,SIM REDE DE POSTOS LTDA
ChIJ55ihkPc2sJQROfdKjZBluAg,POSTOS ALPA LTDA
ChIJ_Z9dMOjprAcRz82kEzvLxhg,PS COMERCIAL DE COMBUSTIVEIS LTDA
ChIJMdeH2sEcoZMRfbSVAS6j-Xc,EMA COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA
ChIJWc8AHVeWv5QR7ZEy3MW8R5c,AUTO POSTO VIA MINEIRA LTDA - EPP
ChIJeZhTMwR6yZQRRlVfyiRURKU,TREVO DE OURO AUTO POSTO LTDA
ChIJFVFHqHAXFgcRaWBajeto8UY,PORTAL DE ITAPUA COMERCIO E SERVICOS LTDA
ChIJiwMIQOTvpQARG15Luw_SmB4,POSTO SERRA DO CIPO LTDA
ChIJ37lfMQ6XpgARCfimTwUUbVQ,POSTO JARDIM INDUSTRIAL LTDA
ChIJX_oeh8SVpgARTbYxGPlnDdo,PIO XII COMBUSTIVEIS LTDA
ChIJG5y2CPhxppQRpQ-7ZVWUHwI,AUTO POSTO FLEX - EIRELI - ME
ChIJHfqwOtQr65QRjqyLNKicMwI,POSTO PASSAGNOLO LTDA
ChIJj_hbzRbwzJQRc7NJwQyJaVQ,AUTO POSTO CONFIANCA PINDAMONHANGABA LTDA
ChIJSYM2u2dPpJQReWSXOaNavQg,MINAS ABASTECIMENTO DE AERONAVE LTDA - EPP
ChIJ63oaDgrZ3pQRqqfwAa3DqkA,POSTO BOA VISTA LTDA
ChIJp7m9H3g6O5MRPILAWygv_4w,POSTO DE COMBUSTIVEIS AEROPORTO LTDA
ChIJp7m9H3g6O5MRPILAWygv_4w,TAQUARALTO COMBUSTIVEIS LTDA
ChIJO_snq43yqgcRUoOznRzo0fY,ROTA DERIVADOS DE PETROLEO LTDA
ChIJk09SGSBvZZMR3rcvADUjDl0,S DOS REIS CAMARGO & CIA LTDA
ChIJVa2mr1ZJxwcRypn0DQFm8Xs,POSTO GUARARAPES LTDA
ChIJ0d1e1jWWpgARxl5hnAOYV1c,POSTO PALHA SECA LTDA
ChIJz1XRnsEUlpQRe_l9cwR0JvI,AUTO POSTO PINHEIROS LTDA
ChIJiYjvacPxuJQRePsS4wTVyQo,AUTO POSTO VIA EXPRESSA ARARAQUARA LTDA
ChIJH__T1VIhngARtLSPiinSar8,AUTO POSTO NUNES E ANDRADE LTDA
